Date,Sigma11_M1,Sigma22_M1,Sigma12_M1,rho_M1,VaR_M1,ES_M1,Sigma11_M2,Sigma22_M2,Sigma12_M2,rho_M2,VaR_M2,ES_M2,Sigma11_M3,Sigma22_M3,Sigma12_M3,rho_M3,VaR_M3,ES_M3,rho_M3_copula,nu_M3,converged_M3
2016-10-13,0.0006140392579136954,0.00036692631892403345,0.0003074099961474618,0.6476352582967879,312384.60104288656,474212.12407721375,0.0006082464347258303,0.00036346474987758047,0.0003045099018441839,0.647635258296788,317899.24155769846,434730.50023292087,0.0006029926969563615,0.00035824032690123586,0.00033524610613436273,0.7213075530133404,308349.16491201107,431366.91275508644,0.7275693527637703,8.12795554168721,True
2016-10-14,0.0006083741878632916,0.00036454428339363187,0.0003048812693086584,0.6473962925512818,317870.78297360445,473242.05263511033,0.0006026884477898033,0.00036113732747406515,0.00030203191165156817,0.6473962925512817,317899.24155769846,434730.50023292087,0.0005974827461870375,0.00035594478424838815,0.0003327395793153852,0.7215234694340865,308349.16491201107,431430.5182167734,0.7277850997812682,8.123112441646484,True
2016-10-17,0.000613019191671591,0.0003673491022450205,0.00030690943301602333,0.6467459382967309,317032.503968601,474202.69542928156,0.0006072359917501606,0.00036388354467667124,0.00030401406100643815,0.6467459382967309,317899.24155769846,434730.50023292087,0.0006019882669172579,0.00035866621077428176,0.000334629721982136,0.7201538170791211,308349.16491201107,431330.9495060462,0.7263990374434641,8.180626110976723,True
2016-10-18,0.000613019191671591,0.0003673491022450205,0.00030690943301602333,0.6467459382967309,317032.503968601,474202.69542928156,0.0006072359917501606,0.00036388354467667124,0.00030401406100643815,0.6467459382967309,317899.24155769846,434730.50023292087,0.0006019882669172579,0.00035866621077428176,0.000334629721982136,0.7201538170791211,308349.16491201107,431330.9495060462,0.7263990374434641,8.180626110976723,True
2016-10-19,0.000613019191671591,0.0003673491022450205,0.00030690943301602333,0.6467459382967309,317032.503968601,474202.69542928156,0.0006072359917501606,0.00036388354467667124,0.00030401406100643815,0.6467459382967309,317899.24155769846,434730.50023292087,0.0006019882669172579,0.00035866621077428176,0.000334629721982136,0.7201538170791211,308349.16491201107,431330.9495060462,0.7263990374434641,8.180626110976723,True
2016-10-20,0.000613019191671591,0.0003673491022450205,0.00030690943301602333,0.6467459382967309,317032.503968601,474202.69542928156,0.0006072359917501606,0.00036388354467667124,0.00030401406100643815,0.6467459382967309,317899.24155769846,434730.50023292087,0.0006019882669172579,0.00035866621077428176,0.000334629721982136,0.7201538170791211,308349.16491201107,431330.9495060462,0.7263990374434641,8.180626110976723,True
2016-10-21,0.0006076324001624485,0.00036396262960314155,0.00030383700189162634,0.6460881911828322,311454.3633512578,475888.8575292467,0.0006019535926842948,0.0003605611097003084,0.0003009974037431065,0.6460881911828324,317899.24155769846,434730.50023292087,0.000596749859513225,0.00035540027160522704,0.00033131820563701066,0.7194328433480437,308349.16491201107,431263.2062519343,0.72566562455356,8.21694910731954,True
2016-10-24,0.0005994422813563734,0.0003572380385480114,0.00029479589843205053,0.6370432267136165,306684.0016985411,467810.1547446765,0.0005937871654945207,0.00035386786837303006,0.000292014805050616,0.6370432267136165,317899.24155769846,434162.509237443,0.0005817636676818822,0.0003535592214649925,0.00032398168836618945,0.7143582789236601,316931.2740854616,430774.236450016,0.7160353393876128,8.640550596498928,True
2016-10-25,0.0005994422813563734,0.0003572380385480114,0.00029479589843205053,0.6370432267136165,306684.0016985411,467810.1547446765,0.0005937871654945207,0.00035386786837303006,0.000292014805050616,0.6370432267136165,317899.24155769846,434162.509237443,0.0005817636676818822,0.0003535592214649925,0.00032398168836618945,0.7143582789236601,316931.2740854616,430774.236450016,0.7160353393876128,8.640550596498928,True
2016-10-26,0.0005994422813563734,0.0003572380385480114,0.00029479589843205053,0.6370432267136165,306684.0016985411,467810.1547446765,0.0005937871654945207,0.00035386786837303006,0.000292014805050616,0.6370432267136165,317899.24155769846,434162.509237443,0.0005817636676818822,0.0003535592214649925,0.00032398168836618945,0.7143582789236601,316931.2740854616,430774.236450016,0.7160353393876128,8.640550596498928,True
2016-10-27,0.0005994422813563734,0.0003572380385480114,0.00029479589843205053,0.6370432267136165,306684.0016985411,467810.1547446765,0.0005937871654945207,0.00035386786837303006,0.000292014805050616,0.6370432267136165,317899.24155769846,434162.509237443,0.0005817636676818822,0.0003535592214649925,0.00032398168836618945,0.7143582789236601,316931.2740854616,430774.236450016,0.7160353393876128,8.640550596498928,True
